Artist,Song,Popularity
Pale Waves,Change,35.0
Proux,Funk Express,35.0
ISLAND,Octopus,35.0
Surfer Blood,Floating Vibes,35.0
Suray Sertin,Super Good Times,35.0
Green-House,Sunflower Dance,35.0
Jilted John,Jilted John - Single Version,35.0
The Brian Jonestown Massacre,Evergreen,35.0
Pale Waves,Easy,35.0
Jade Bird,Headstart,35.0
DARKSIDE,The Limit,35.0
RKCB,Naive,35.0
Verzache,All I Need,35.0
St. Vincent,The Melting Of The Sun,35.0
The Soft Moon,Wasting,35.0
Gary Numan,Are 'Friends' Electric?,35.0
my bloody valentine,Soft as Snow (But Warm Inside),35.0
Blue Material,Blue Blood,35.0
Foster The People,Lamb's Wool (with Poolside),35.0
Everything Everything,Violent Sun,34.0
Let's Eat Grandma,Hot Pink,34.0
Biig Piig,American Beauty,34.0
Django Django,Default,34.0
Kacy Hill,Arm's Length,34.0
Pom Pom Squad,Head Cheerleader,34.0
Jessie Ware,Please - Single Edit,34.0
TDJ,Lalala (Want Somebody),34.0
Kilo Kish,BITE ME,34.0
Friedberg,Yeah,34.0
Lianne La Havas,What You Don't Do,34.0
Elley Duhé,Kids Of The Night,34.0
Healy,Part of Me,34.0
Crumb,Gone,34.0
Jon Hopkins,Singularity,34.0
Chelsea Jade,Laugh It Off,34.0
Cavetown,Let Me Feel Low (feat. Miloe),34.0
my bloody valentine,in another way,34.0
Kaiser Chiefs,Never Miss A Beat,34.0
Swiss Portrait,Cassette,34.0
Nothing,Zero Day,34.0
SAULT,Red Lights,34.0
Jack Peñate,Torn On The Platform,34.0
Squid,The Cleaner,34.0
Mallrat,Better,34.0
The Dandy Warhols,Ride,34.0
The New Pornographers,Falling Down The Stairs Of Your Smile,34.0
Laura Marling,Soothing,34.0
Loverground,Pup Slushy,34.0
The National,Never Tear Us Apart,34.0
Cat Power,Woman - Single Version,34.0
The Naked And Famous,Blinding Lights,34.0
Lawrence Arabia,Apple Pie Bed,34.0
Molly Burch,Emotion feat. Wild Nothing,34.0
Biosphere,Angel's Flight,34.0
Genesis Owusu,Gold Chains,34.0
Donbor,Against the Law,34.0
Caroline Rose,Freak Like Me,34.0
Habe,Soho,34.0
Parquet Courts,Human Performance,34.0
Perturbator,"She Is Young, She Is Beautiful, She Is Next",34.0
Июльские Дни,Не для меня,34.0
MAGENTA,Avec toi,34.0
Yuck,Get Away,34.0
Parquet Courts,Master Of My Craft,34.0
Acollective,Happiest of All Memorial Days,34.0
The Blues Magoos,(We Ain't Got) Nothin' Yet,34.0
Balthazar,Losers - Purple Disco Machine Remix Edit,34.0
Primal Scream,Rocks,34.0
WARGASM (UK),Rage All Over,34.0
A. G. Cook,Being Harsh,34.0
The Beta Band,Dry The Rain (Remaster),34.0
Diskopunk,Fire,34.0
Lou Reed,"I Love You, Suzanne",34.0
Sparklehorse,Wish You Were Here,34.0
The Stranglers,Duchess,34.0
Aests,DUCK GROOVE,34.0
Amyl and The Sniffers,Some Mutts (Can't Be Muzzled),34.0
Pentangle,Light Flight,34.0
Sugar,If I Can't Change Your Mind,34.0
Nick Cave & The Bad Seeds,Deanna,34.0
Southern Shores,Fora,34.0
White Rabbits,Percussion Gun,34.0
The Limiñanas,Shadow People (feat. Emmanuelle Seigner),34.0
Cosmo Sheldrake,Skylark,34.0
Cautious Clay,Dying in the Subtlety,34.0
Alfie Templeman,"Wait, I Lied",34.0
Ocean Colour Scene,The Day We Caught The Train,34.0
Hayley Williams,Teardrop,34.0
IAN SWEET,Sword,33.0
Baird,Beluga v2 (feat. Berhana),33.0
We Are Scientists,After Hours,33.0
Monolink,Harlem River,33.0
Ploho,Прости,33.0
Sea Girls,Ready For More,33.0
The Bees,A Minha Menina,33.0
Malena Villa,Lindos Problemas,33.0
Ride,Drive Blind - 2001 Remaster,33.0
Chiiild,Gone,33.0
Lime Cordiale,Reality Check Please,33.0
Jake Bugg,Lost,33.0
Turbo Knight,Rasengan,33.0
Courtney Barnett,"Nameless, Faceless",33.0
Paz Carrara,Radar,33.0
Motorama,Pole Star,33.0
Warpaint,Whiteout,33.0
Hotel Pools,Lynx,33.0
Sports,The Look,33.0
Classixx,Weekends,33.0
Twin Shadow,Alemania,33.0
COIN,Sprite,33.0
Lucius,Turn It Around,33.0
VVV [Trippin'you],Invierno Nuclear,33.0
Scruffpuppie,Ego,33.0
Buttering Trio,I Cried For You,33.0
Baby Queen,Raw Thoughts,33.0
Erlend Øye,Lockdown Blues,33.0
The Godfathers,"Birth, School, Work, Death",33.0
Whitney,Strange Overtones,33.0
Daryl Hall & John Oates,I Can't Go for That (No Can Do) - Nicolaas Remix,33.0
Slow Pulp,Track,33.0
The Horrors,Still Life,33.0
Touché Amoré,Reminders,33.0
A Winged Victory for the Sullen,So That The City Can Begin To Exist,33.0
Lou Hayter,Time Out of Mind,33.0
The Hoosiers,Goodbye Mr A,33.0
Pop Up!,Paradise City,33.0
MICHELLE,FYO,33.0
Nature TV,You and Me,33.0
LUMIÈRE,LA.BELLE.JOURNÉE 1971,33.0
Noname,Song 33,33.0
Melody's Echo Chamber,"Breathe in, Breathe Out",33.0
Mr. Oizo,Jo,33.0
Shortparis,Страшно,33.0
This Is The Kit,Coming to Get You Nowhere,33.0
The End of Electronics,Proletarian Gothic,33.0
The Academic,Anything Could Happen,33.0
The Jam,The Eton Rifles - Single Edit,33.0
Tom Odell,money,33.0
Clara Cava,Precipicio,33.0
Bratty,tdbn,33.0
Fruit Bats,Shane,33.0
IDLES,A Hymn,33.0
Love Fame Tragedy,5150,33.0
Skullcrusher,Places/Plans,33.0
Thieves Like Us,Drugs in My Body,33.0
binki,Clay Pigeon,33.0
Flyying Colours,Long Holiday,33.0
Proxy,Raven,33.0
Max Richter,Follower,33.0
The Beaches,Let's Go,32.0
Jean Dawson,Clear Bones,32.0
Jessica Pratt,This Time Around,32.0
Grouplove,Deadline,32.0
Surfing,Lifetime,32.0
Skalpel,Escape - Hania Rani Remix,32.0
James Vincent McMorrow,Cavalier,32.0
Godford,Better Place,32.0
Hatchie,Sure,32.0
Gang Of Four,I Love a Man In a Uniform,32.0
Warpaint,Lilys - HBO ‘Made For Love’ Cut,32.0
FM Skyline,Sonic in the Holobeach,32.0
Courteeners,Not Nineteen Forever,32.0
Switch,A Bit Patchy,32.0
Sam Sparro,Happiness - The Magician Remix,32.0
Lawrence Hart,Surrender Yourself,32.0
Sophia Kennedy,Seventeen,32.0
Groovy Kaiju,VTEC,32.0
Phoria,Nouveau-Né (Re-Imagined),32.0
Squid,Pamphlets,32.0
Deftones,Wax and Wane - 2005 Remaster,32.0
Lomelda,Wonder,32.0
Wallice,Off the Rails,32.0
Angel Olsen,Lark,32.0
Nürnberg,Mora,32.0
Methyl Ethel,Neon Cheap,32.0
Billie Marten,Live,32.0
Rotem Bar Or,אל תפחד,32.0
Luna Li,Cherry Pit,32.0
Rendez Vous,Sentimental Animal,32.0
NewDad,Slowly,32.0
Björk,Stonemilker,32.0
Talos,See Me,32.0
Nasty Cherry,Win,32.0
Golden Vessel,getforward,32.0
Orla Gartland,Zombie!,32.0
Pynch,Somebody Else,32.0
The Creation,Making Time,32.0
Kero Kero Bonito,Well Rested,32.0
King Gizzard & The Lizard Wizard,East West Link,32.0
This Is The Kit,Bashed Out,32.0
Middle Kids,Stacking Chairs,32.0
Foster The People,The Things We Do,32.0
Porches,rangerover - Bonus Track,32.0
Biffy Clyro,End Of,32.0
Goth Babe,Laurelhurst,32.0
shame,Alphabet,32.0
Jenn Champion,O.M.G. (I'm All Over It),32.0
First Aid Kit,On the Road Again,32.0
yes/and,Ugly Orange,32.0
Chapterhouse,Breather,32.0
FM Skyline,mirror gallery (Windows 96 Remix),32.0
Komsomolsk,Всё исчезло,32.0
COIN,Dream House,32.0
Gengahr,Icarus,32.0
Norah Jones,"Jesus, Etc.",32.0
St. Vincent,Down,32.0
Softcult,Take It Off,32.0
Jordana,Push Me Away,32.0
Phantom Handshakes,Cricket Songs,32.0
Erol Alkan,Waves,32.0
Gabriel Vitel,Golden,32.0
Junior Varsity,Cold Blood,32.0
RALPH TV,Making Movements,32.0
Appleby,Half Life,31.0
Jazmine Sullivan,Price Tags (feat. Anderson .Paak) - kryptogram Remix,31.0
Piroshka,Everlastingly Yours,31.0
Paul McCartney,Seize The Day (feat. Phoebe Bridgers),31.0
Years & Years,Starstruck - Vegyn Remix,31.0
Wallice,Hey Michael,31.0
Phoenix,"Identical - From The Motion Picture ""On The Rocks""",31.0
José González,Visions,31.0
Cihangir Aslan,Night Owl,31.0
CAN,I Want More,31.0
Thom Yorke,Twist,31.0
Leyli,בייבי,31.0
Rostam,4Runner,31.0
Martin Kohlstedt,XEO,31.0
!!!,Slyd,31.0
The Rapture,How Deep Is Your Love?,31.0
Pale Waves,Fall to Pieces,31.0
Bakar,"Having a Good Time, Sometimes",31.0
Ulrich Schnauss,On My Own - 2019 remaster,31.0
Kol HaChatichim Etzli,כל הסיבות,31.0
NiNE8,FVR105 - p-rallel Remix,31.0
Temples,Certainty,31.0
Baird,BITE,31.0
Black Honey,Beaches,31.0
Medium Medium,"Hungry, So Angry",31.0
The Rakes,1989,31.0
Slaves,Chokehold,31.0
Hand Habits,4th of july,31.0
Great Grandpa,Digger,31.0
Makeup And Vanity Set,"A Glowing Light, a Promise",31.0
Middle Kids,R U 4 Me?,31.0
Run River North,Spiders,31.0
Thom Yorke,Not The News,31.0
Joha,Non Più,31.0
Julia Holter,So Humble the Afternoon,31.0
Moodoïd,Only One Man (with Melody's Echo Chamber),31.0
Simian Mobile Disco,Hustler,31.0
Widowspeak,Romeo and Juliet,31.0
Poolside,Losing Control - Satin Jackets Remix,31.0
Ocean Colour Scene,The Riverboat Song,31.0
Liz Lawrence,California Screaming,31.0
dexter,Maybe the Problem Is Me,31.0
Boys Noize,& Down,31.0
Jacques Dutronc,"Mini, mini, mini",31.0
Bright Eyes,Persona Non Grata,31.0
my bloody valentine,Feed Me with Your Kiss,31.0
Ruby Waters,Difficult,31.0
Briston Maroney,Sinkin',31.0
Silver Apples,Oscillations,31.0
Sun June,Bad girl,31.0
Briston Maroney,Bottle Rocket,31.0
The Howl & The Hum,Godmanchester Chinese Bridge - Radio Edit,31.0
Skegss,Fantasising,31.0
Triathalon,GARDEN 2,31.0
Forrest.,Never Had,31.0
Wipers,When It's Over,31.0
Atrey,"Dark Prince, Pt. 3",31.0
TV On The Radio,Golden Age,31.0
Motorama,Corona,31.0
Hatena,NOTFAIR,31.0
Calva Louise,Belicoso,31.0
Lala Lala,€ € € €^^%%!!!!!heaven!!!!!!,31.0
Oklou,Entertnmnt,30.0
warner case,ok,30.0
Sing-Sing,Feels Like Summer,30.0
Argonaut & Wasp,Dog Days,30.0
lentra,o shit!,30.0
Poolside,I Feel High (with DRAMA),30.0
The Regrettes,Poor Boy,30.0
Pillow Queens,Liffey,30.0
JDM Global,Cake,30.0
The Bluetones,Slight Return,30.0
Tirzah,Send Me,30.0
Clubhouse,Heartbroke,30.0
Porridge Radio,Good For You,30.0
Zella Day,Purple Haze,30.0
Squid,Paddling,30.0
Julia Stone,Dance,30.0
Tails,second thoughts,30.0
Nicolas Duque,2You,30.0
Alcest,La nuit marche avec moi,30.0
Petey,California (Prius Edition),30.0
Lush,Thoughtforms - 2nd Version,30.0
Quixotic,Highway Violence,30.0
The Lagoons,Daybreak,30.0
Chapterhouse,Pearl - Edit,30.0
Ex:Re,Misery Is a Butterfly,30.0
Stella Donnelly,Old Man,30.0
Vistas,The Love You Give,30.0
Temples,Paraphernalia,30.0
rainbow frog biscuits,Attention,30.0
Pixey,Free to Live in Colour,30.0
Family Jools,Georgia,30.0
Mere Notilde,Sweet Baby!,30.0
DJ BORING,Gardenia,30.0
Snapped Ankles,Rhythm Is Our Business - Edit,30.0
Angel Olsen,New Love Cassette (Mark Ronson Remix),30.0
LOYAL,Light up for You,30.0
Super Besse,Holod,30.0
The Pretty Things,She's a Lover,30.0
Briston Maroney,Freeway,30.0
Girlhood,It Might Take A Woman,30.0
Drugstore,El President,30.0
Primal Scream,Gentle Tuesday,30.0
Ishi,Not My Girl - Yuksek Remix,30.0
CSS,Let's Make Love And Listen To Death From Above - Spank Rock Remix,30.0
Wooden Shjips,Everybody Knows,30.0
Lilla Vargen,Downtown,30.0
My Morning Jacket,Highly Suspicious,30.0
Trash Boat,Silence Is Golden,30.0
Psychic Ills,I Don't Mind,30.0
Pathiena,The Deepest Of Sorrow,30.0
iogi,you\me\everyone,30.0
Pretty Sick,Bet My Blood,30.0
David Bowie,Changes - 1999 Remaster,30.0
Suede,Trash,30.0
Sheygets,מרלין מונרו,30.0
Midival Punditz,Rebirth,30.0
Nmesh,A Face Without Eyes,30.0
Current Joys,Breaking the Waves,30.0
Unknown Mortal Orchestra,American Guilt,30.0
Wooden Shjips,Eclipse,30.0
The Raincoats,No Side to Fall In,30.0
WARGASM (UK),Your Patron Saints,30.0
Chapterhouse,Falling Down,30.0
The Academic,Mixtape 2003,30.0
Marika Hackman,Drown,30.0
Ploho,Хотеть тепла,30.0
Papooz,The Garden,30.0
Seb Wildblood,Room with No View (feat. Boxed In),30.0
Ron Gallo,HIDE (MYSELF BEHIND YOU),30.0
NewDad,Drown,30.0
Beck,Chemical,30.0
Jay Som,Superbike,30.0
Cherry Glazerr,Big Bang,30.0
serpentwithfeet,Fellowship,30.0
TANUKI,Ganbare,29.0
Louf,Formation - Otik Remix,29.0
Kartell,Crossing Paths,29.0
Yan Wagner,Fais comme si,29.0
AnTgry,DAILY ILLEGAL ANIME CONSUMPTION PT.1,29.0
Kris Berry,Superpower,29.0
Oneohtrix Point Never,No Nightmares,29.0
"Astronauts, etc.",Cherry Plum,29.0
Skegss,Bush TV,29.0
The Drums,What We Had,29.0
Ethan Tasch,Face Again,29.0
Увула,Пульс,29.0
Haiva Ru,"Oh, But Lover",29.0
Swervedriver,Rave Down,29.0
Shygirl,TWELVE,29.0
Geva Alon,The Wind Whispers,29.0
CLOVES,Nightmare,29.0
The Jungle Giants,Treat You Right,29.0
theAngelcy,Mona Lisa,29.0
The Beta Band,Inner Meet Me,29.0
Shout Out Louds,The Comeback,29.0
Cut Worms,Every Once In A While,29.0
PJ Harvey,Sheela-na-gig,29.0
Andy Bell,Love Comes In Waves,29.0
Alcest,Into the Waves,29.0
Dehd,Loner,29.0
Sjowgren,Waiting Room,29.0
Lauren Auder,Unseen,29.0
Труд,Друг,29.0
Kills Birds,Volcano,29.0
Folly Group,Four Wheel Drive,29.0
Jacco Gardner,Find Yourself,29.0
Sycco,Germs,29.0
Vistas,Everything Changes in the End,29.0
IDER,Cross Yourself,29.0
Jesu,Silver,29.0
Cranes,Shining Road,29.0
Oneohtrix Point Never,Nothing’s Special,29.0
Oxymorrons,Justice,29.0
Hariprasad Chaurasia,Bageshri,29.0
Carlos Cipa,Surges (variation),29.0
Ginger Root,Two Step,29.0
TORRES,Three Futures,29.0
GRAE,Spinning,29.0
Margaret Glaspy,Emotions And Math,29.0
Pinkshinyultrablast,Songs,29.0
Ibeyi,Deathless,29.0
Starcrawler,Bet My Brains,29.0
Yard Act,Dark Days,29.0
Nadia Reid,Oh Canada,29.0
Sleaford Mods,Kebab Spider,29.0
Gang Of Four,At Home He's a Tourist,29.0
Sega Bodega,Salv Goes To Hollywood,29.0
Genesis Owusu,A Song About Fishing,29.0
Swearin',Grow into a Ghost,29.0
PaulWetz,People - Radio Edit,29.0
Harmless,Nacho's,29.0
Sleater-Kinney,A New Wave,29.0
Cape Francis,Olly,29.0
Savages,Husbands,29.0
Julia Wolf,In My Way,29.0
Mars Today,Cool It,29.0
Dry Cleaning,Unsmart Lady,29.0
Poolside,Shakedown Street,29.0
POORSTACY,Public Enemy,29.0
Paul McCartney,Find My Way (feat. Beck),29.0
Krystal Klear,Piano Banana,29.0
Mélodie Lauret,quand j'entends les gens,29.0
Cayucas,Yeah Yeah Yeah,28.0
Sega Bodega,Make U Stay,28.0
flowerkid,boy with the winfields and the wild heart,28.0
The Charlatans,One To Another,28.0
John Leyton,Johnny Remember Me,28.0
Parquet Courts,Black And White,28.0
Trushinitas,By the River,28.0
The Libertines,Gunga Din,28.0
Mr GISCARD,H&M,28.0
Wu-Lu,South,28.0
Maybird,Turning Into Water,28.0
the sleepover disaster,Dark Star,28.0
Tupperwave,Timeless,28.0
kryptogram,Olvidar,28.0
Grandbrothers,What We See,28.0
49th & Main,I Want You,28.0
umru,popular,28.0
SWMRS,Berkeley's On Fire,28.0
Shygirl,Nasty,28.0
La Femme,Foreigner,28.0
Altin Gün,Yüce Dag Basinda,28.0
MIA GLADSTONE,GO,28.0
Ralph Castelli,Running,28.0
Yonatan Rozen,אוטומוביל,28.0
Death In Vegas,Aladdin's Story,28.0
Abby Sage,Smoke Break,28.0
"Does It Offend You, Yeah?",We Are Rockstars,28.0
The End of Electronics,Union,28.0
Scott Lavene,Broke,28.0
The Shaggs,Philosophy of the World,28.0
Chapterhouse,Guilt,28.0
Saski,Faking Bright,28.0
PUP,Rot,28.0
Total Control,Flesh War,28.0
Anat Moshkovski,La Petite Fille La Plus Jolie Du Monde,28.0
Mt. Eddy,Metaphor,28.0
G Luné,BLOCKED,28.0
Alfie Templeman,One More Day,28.0
Grace Mitchell,MANGO,28.0
Rajhesh Vaidhya,Thillana - Dhanashree - Adi,28.0
spill tab,Anybody Else,28.0
Curtis Waters,System,28.0
The Tornados,Telstar,28.0
Maddie Medley,Buzz,28.0
November Ultra,Miel,28.0
Cassandra Jenkins,Michelangelo,28.0
Mandrake Handshake,Monolith,28.0
Sam Truth,All My Dogs,28.0
Charles,Impudent Hussy,28.0
Great Grandpa,Bloom,28.0
L.A. WITCH,Fire Starter,28.0
Faraway Friends,Spring,28.0
ForesTT,To the Sea,28.0
Kostakis,The Woods - Radio Edit,28.0
Ultra Vivid Scene,Mercy Seat,28.0
Gary Myrick,She Talks In Stereo,28.0
Howler,Back of Your Neck,28.0
Madeline Kenney,Sucker,28.0
Palma Violets,Best of Friends,27.0
Tash Sultana,Blame It On Society,27.0
Fred Falke,So Good,27.0
Jungle,Keep Moving - The Blessed Madonna remix / Edit,27.0
Dead Pony,Sharp Tongues,27.0
Softcult,Gloomy Girl,27.0
Ramachandra Murthy,"Govind Bolo, Shri Krishna Govind - Instrumental",27.0
Syd,Missing Out,27.0
999,Feelin' Alright with the Crew,27.0
Kevin Krauter,Opportunity,27.0
Happy Mondays,24 Hour Party People,27.0
ev.exi,You Can't Run,27.0
TOPS,Witching Hour,27.0
Haiva Ru,Work It On Out,27.0
Calica,Little Girl,27.0
LOOK MUM NO COMPUTER,Waiting for the World to End,27.0
Le Cassette,Arms of Mine,27.0
Swimm,Man's Man,27.0
HAIM,3 AM - Toro Y Moi Remix,27.0
Joan As Police Woman,Holy City,27.0
Willie J Healey,For You,27.0
Jools,How Can Some Experience What Pride Is Without Liberation for All?,27.0
First Aid Kit,Ghost Town,27.0
Boyish,Superstar,27.0
Dan Mangan,Losing My Religion,27.0
Moss,My Decision - Edit,27.0
Wilco,Random Name Generator,27.0
Dream Wife,Hasta La Vista,27.0
Moon Taxi,Say,27.0
Engelwood,Lovin' Is Everywhere,27.0
Doss,Puppy,27.0
The Big Moon,Barcelona,27.0
Bloc Party,Banquet - Phones Disco Edit,27.0
Martin Kohlstedt,JUL,27.0
Blondie,Dreaming - Remastered,27.0
ED.,Round and Round,27.0
Psychedelic Porn Crumpets,Mr. Prism,27.0
LA Priest,What Moves,27.0
KUNZITE,JUPITER,27.0
Carla Geneve,Greg's Discount Chemist,27.0
The Fall,Fiery Jack - Bonus Track,27.0
KyonPalm,天使,27.0
The Breeders,Wait in the Car,27.0
ev.exi,Mode,27.0
Radio 4,Enemies Like This,27.0
The Bonzo Dog Band,Death Cab for Cutie - 2007 Remaster,27.0
Luna Delirious,Valentine,27.0
Mere Notilde,Unlimited,27.0
Everything Everything,Big Climb,27.0
Yung Bae,Woman On The Moon (feat. UPSAHL),27.0
California Wives,Blood Red Youth,27.0
Brijean,Wifi Beach,27.0
Magic Bronson,Nervous,27.0
Lilly Wood and The Prick,A Song,27.0
James,Born Of Frustration,27.0
Rasika Shekar,Lalitha,27.0
Larry Tee,Licky (Work It Out) - Hervé Goes Low Remix,27.0
Bully,Feel the Same,27.0
Tabla Beat Science,Magnetic,27.0
Widowspeak,Even True Love,27.0
Caspian,Echo and Abyss,27.0
The Telescopes,The Perfect Needle,27.0
Scarlet Pleasure,What A Life (j'fais ma life) [feat. Suzane],27.0
Narrow Head,Ponderosa Sun Club,27.0
NEW CITY,Losing My Mind,27.0
Mint Field,Delicadeza,26.0
Acollective,Circles,26.0
The Normal,Warm Leatherette,26.0
The Bloody Beetroots,Cornelius,26.0
Ethan Gruska,Maybe I'll Go Nowhere,26.0
Homeschool,Smartest Man (feat. Samia),26.0
Circa Waves,Battered & Bruised,26.0
Bright Eyes,Flirted With You All My Life,26.0
Au/Ra,Bite Marks,26.0
Luna Li,Alone but Not Lonely,26.0
Kokonoku,SAILORSATURDAYS,26.0
Nürnberg,Zorki,26.0
Windy & Carl,Undercurrent,26.0
Josh Fudge,Summer Something,26.0
Video Age,Aerostar,26.0
imugi 이무기,Swimming,26.0
Japandroids,Near To The Wild Heart Of Life,26.0
Jealous of the Birds,Miss Misanthrope,26.0
Utro,Подсолнух,26.0
Valley Boy,Sad Girl,26.0
Mansionair,Technicolour,26.0
Billie Marten,Garden of Eden,26.0
Amnesia Scanner,AS Too Wrong,26.0
Electroforez,Дверь в параллельный мир,26.0
Чёрная Речка,Друг,26.0
YSI,Shake well before use,26.0
Folamour,Lost In Space (feat. SG Lewis),26.0
Ritt Momney,Set The Table (feat. Claud),26.0
Far Caspian,Warning Sign,26.0
Eliza & The Delusionals,YOU,26.0
Wimps,Garbage People,26.0
Helena Deland,Someone New,26.0
Madge,Fight or Flight Club,26.0
Чёрная Речка,Нет,26.0
Death From Above 1979,Virgins,26.0
Dennis Cruz,Ahora Todo Va,26.0
The Chemical Brothers,The Darkness That You Fear - Edit,26.0
Phoebe Green,Reinvent,26.0
Franc Moody,Tired of Waiting,26.0
The (International) Noise Conspiracy,Smash It Up!,26.0
bel canto,"Shimmering, Warm & Bright",26.0
shame,Water in the Well,26.0
Kirk Francis,Ophelia,26.0
Overcoats,The Fool,26.0
Nature TV,Solid Door,26.0
POLICE CAR COLLECTIVE,ALLTHETIME,26.0
The Jesus and Mary Chain,Taste of Cindy,26.0
Muzz,Fade Into You,26.0
Peace,Lost on Me,26.0
Baby Queen,Internet Religion,26.0
Lewis Del Mar,Rosalie (CH. II),26.0
Rostam,Under Control,26.0
Girlhood,The Love I Need,26.0
Kids Return,Melody,26.0
Holly Herndon,Frontier,26.0
The Polar Boys,Let Go,26.0
Улица Восток,Последний вальс,26.0
The Pirouettes,Oulala,26.0
Molly Tuttle,Fake Empire,26.0
Nick Leng,One More Time,26.0
Catatonia,Road Rage,26.0
Hippo Campus,Passenger,26.0
Sorcha Richardson,The Starlight Lounge,26.0
Indosoul by Karthick Iyer,Rejoicing in Raghuvamsa,26.0
The Foxies,Screws,26.0
Algeir,קיטש,26.0
Kllo,Virtue,26.0
Giant Rooks,Misinterpretations,26.0
Aya Zahavi Feiglin,גיבור,26.0
The Feelies,The Boy With The Perpetual Nervousness,26.0
Sierpien,Валюты обеих стран,26.0
Jagwar Ma,Come Save Me,26.0
Post Animal,Gelatin Mode,26.0
Madison Cunningham,No Surprises,26.0
Yaeji,MONEY CAN'T BUY,25.0
shame,Nigel Hitter,25.0
Tricky,Chills Me to the Bone,25.0
Amy Allen,Difficult,25.0
Baiju Dharmajan,Moham,25.0
Swaine Delgado,F Me Up,25.0
White Denim,It Might Get Dark,25.0
salute,Want U There,25.0
George Clanton,Driving in My Car,25.0
Becca Mancari,Hunter,25.0
Perila,Fallin Into Space,25.0
Eyeliner,Pictures,25.0
Hinds,Riding Solo,25.0
bloody/bath,Arp-87,25.0
Vundabar,Montage Music,25.0
Widowspeak,When I Tried,25.0
Dora Jar,Quiver,25.0
Angie McMahon,Keeping Time,25.0
Neil Cowley,Don’t Walk Alone,25.0
Psychedelic Porn Crumpets,Pukebox,25.0
Karsh Kale,Milan,25.0
Highline,Chasing Heaven,25.0
Gang Of Four,To Hell With Poverty,25.0
Dua Saleh,umbrellar,25.0
Okay Kaya,Comic Sans,25.0
Green-House,Nocturnal Bloom,25.0
AnTgry,Love & Affection,25.0
Julianna Barwick,Inspirit - Takuya's Ryūteki Dragons,25.0
The Lazy Eyes,The Seaside - Edit,25.0
SASAMI,Not The Time,25.0
Land of Talk,A/B Futures,25.0
John Cooper Clarke,(I Married a) Monster from Outer Space,25.0
Jordana,Reason,25.0
Ralph Heidel,Haut,25.0
Vistas,Comfort,25.0
Black Foxxes,Badlands,25.0
Gabriel Garzón-Montano,Someone,25.0
Samia,Milk,25.0
Saint Sister,Corpses,25.0
Dizzy,Sunflower,25.0
Seefeel,Polyfusion,25.0
The Goon Sax,In the Stone,25.0
Chelou,Real,25.0
Bob Moses,Save a Prayer - Acoustic,25.0
Jordana,I Guess This is Life,25.0
Zella Day,Crazy Train,25.0
Tajdar Junaid,Dastaan,25.0
Interplanetary Criminal,Supreme Level,25.0
The Magic Gang,Think,25.0
Jaja Bu,Bibles,25.0
Django Django,Hail Bop,25.0
KUČKA,No Good For Me,25.0
Hether,Sex Wax,25.0
Pale Saints,She Rides the Waves (John Peel Sessions),25.0
daydream Masi,Night Like This,25.0
Lloyd Cole and the Commotions,Rattlesnakes,25.0
The Avalanches,Interstellar Love (feat. Leon Bridges),25.0
Neon95,Rainbow Badge,25.0
Phoebe Green,IDK,25.0
Stevedreez,Smoking Section,25.0
Riot In Belgium,La musique - Jbag's Boomboxed Re-Edit,25.0
Skule Toyama,Stereo,25.0
Madhav Gopi Nair,Mukti,25.0
Hinds,Good Bad Times,25.0
Paris Youth Foundation,The Back Seat,25.0
Far Caspian,Warning Sign - Alt Version,25.0
Ron Gallo,YOU ARE ENOUGH - Caroline Rose Remix,25.0
Ketan Mohite,Space Trip,25.0
Flock of Dimes,Two,25.0
CFCF,Life is Perfecto,25.0
Ultravox,My Sex,25.0
Elizabeth,meander,25.0
bl00dwave,Blue,25.0
OCTAVIO the Dweeb,Someday I'll Be Happy,25.0
Alfie Templeman,Shady,25.0
Dameer,Michelle,25.0
my bloody valentine,All I Need,25.0
Roger Eno,Moss,25.0
Erika de Casier,Someone to Chill With,24.0
Swales,The Night,24.0
Mansun,Wide Open Space,24.0
Hildegard,Jour 3,24.0
Tourist,Siren,24.0
Mr Gabriel,DANDELION,24.0
Besphrenz,better off alone,24.0
Mathilda Homer,Rock Bottom,24.0
Simple Minds,Changeling,24.0
RINSE,Back Into Your Arms,24.0
Catatonia,Mulder and Scully,24.0
Grandbrothers,All the Unknown,24.0
회사AUTO,Age.Of.Aquarius,24.0
Phoxjaw,Trophies in the Attic,24.0
Intelligency,Leta,24.0
Circa Waves,There She Goes,24.0
Barbi Recanati,Los Días Que No Estás,24.0
Hatena,SOULLL,24.0
Dan Croll,On Top,24.0
Howie Lee,Birdy Island,24.0
Klaxons,Gravity's Rainbow - Van She Remix,24.0
Mahesh Raghvan,The Kapi Dance,24.0
RAC,Feel You,24.0
Green-House,Find Home,24.0
illuminati hotties,I Wanna Keep Yr Dog,24.0
Blu DeTiger,Toast with the Butter,24.0
Starflyer 59,A House Wife Love Song,24.0
Amusement Parks On Fire,Our Goal to Realise,24.0
Pale Saints,Ordeal,24.0
Oscar Lang,Antidote to Being Bored,24.0
The Tammys,Egyptian Shumba,24.0
BETWEEN FRIENDS,lonely,24.0
Baby Queen,These Drugs,24.0
Twinkle,Terry,24.0
Fickle Friends,IRL,24.0
Matty,Videogames,24.0
Not On Tour,Flip,24.0
David Bowie,Sound and Vision - 1999 Remaster,24.0
